"Reference","Value","Footprint","Qty","DNP","LCSC"
"AR1","1K x 4","pocket_sdr_v2.3:EXB28V","1","","C192510"
"C1,C3,C5,C9,C15","470pF","pocket_sdr_v2.3:C1005","5","",""
"C2","1.7pF","pocket_sdr_v2.3:C1005","1","","C161313"
"C4","1.1pF","pocket_sdr_v2.3:C1005","1","","C541332"
"C6,C10","750pF","pocket_sdr_v2.3:C1005","2","",""
"C7,C11","15pF","pocket_sdr_v2.3:C1005","2","",""
"C8,C12","0.01uF","pocket_sdr_v2.3:C1005","2","","C18522294"
"C13,C16,C17,C23,C25,C26,C27,C28,C30,C31,C34,C35,C37,C38,C43","0.1uF","pocket_sdr_v2.3:C1005","15","",""
"C14,C18,C29,C32,C33,C36,C39,C40,C41,C42","100pF","pocket_sdr_v2.3:C1005","10","","C18504148"
"C19,C20","12pF","pocket_sdr_v2.3:C1005","2","","C18504156"
"C21","1uF","pocket_sdr_v2.3:C1005","1","","C18498824"
"C22,C24","10uF","pocket_sdr_v2.3:C3225","2","","C730480"
"F1","12V 8 Ohm, Trip 250mA","pocket_sdr_v2.3:C1608","1","","C2649924"
"J1","PINH_2MM_2P","pocket_sdr_v2.3:PINH-2MM-2P","1","",""
"J2","USB_C_Receptacle_USB2.0","","1","","C3025063"
"J4","SMA-ANG","pocket_sdr_v2.3:SMA-ANG","1","","C5356059"
"L1","5.6nF","pocket_sdr_v2.3:C1608","1","","C341695"
"L2","68nH","pocket_sdr_v2.3:C1608","1","","C98082"
"L3","8.4nH","pocket_sdr_v2.3:C1608","1","","C1329831"
"LED1,LED2,LED3","LED1608","pocket_sdr_v2.3:LED_1608","3","","C5125066"
"R1,R3","15K","pocket_sdr_v2.3:C1005","2","","C137917"
"R2,R4,R6,R8,R10","10K","pocket_sdr_v2.3:C1005","5","","C60489"
"R5,R7","2.2K","pocket_sdr_v2.3:C1005","2","","C163447"
"R9","100K","pocket_sdr_v2.3:C1005","1","","C106234"
"R11","100","pocket_sdr_v2.3:C1005","1","","C106233"
"R12,R13","5.1K","pocket_sdr_v2.3:C1005","2","","C4346772"
"RF-SHEILD-CASE0","BMI-S-202","pocket_sdr_v2.3:BMI-S-202","1","",""
"RF_DIVIDER0","PD0922J5050S2HF","pocket_sdr_v2.3:RF_DIV","1","","C5136968"
"TCXO0","24.000 MHz 0.5ppm","pocket_sdr_v2.3:TCXO","1","","C7528445"
"U1,U2","MAX2771","pocket_sdr_v2.3:TQFN28","2","","C400143"
"U3","CY7C68013A-56LTXCT","pocket_sdr_v2.3:QFN56","1","","C14912"
"U4","AT24C128C","pocket_sdr_v2.3:TSSOP_8P","1","","C616767"
"U5","LDO 3.3V 500mA SOT23-5","pocket_sdr_v2.3:SOT23","1","","C3749679"
"XTAL0","24MHz 12pF","pocket_sdr_v2.3:XTAL_SMD","1","",""
